be	[biː]	[biː]	v. 是；存在
have	[hæv]	[hæv]	v. 有；拥有
do	[duː]	[duː]	v. 做；执行
say	[seɪ]	[seɪ]	v. 说；表达
go	[ɡoʊ]	[ɡəʊ]	v. 去；行进
get	[ɡet]	[ɡet]	v. 得到；获取
make	[meɪk]	[meɪk]	v. 制作；使得
know	[noʊ]	[nəʊ]	v. 知道；了解
think	[θɪŋk]	[θɪŋk]	v. 想；认为
take	[teɪk]	[teɪk]	v. 拿；采取
see	[siː]	[siː]	v. 看见；明白
come	[kʌm]	[kʌm]	v. 来；出现
want	[wɑːnt]	[wɒnt]	v. 想要；需要
look	[lʊk]	[lʊk]	v. 看；显得
use	[juːz]	[juːz]	v. 使用；利用
find	[faɪnd]	[faɪnd]	v. 找到；发现
give	[ɡɪv]	[ɡɪv]	v. 给；给予
tell	[tel]	[tel]	v. 告诉；讲述
work	[wɜːrk]	[wɜːk]	v. 工作；运作
call	[kɔːl]	[kɔːl]	v. 呼叫；称作
try	[traɪ]	[traɪ]	v. 尝试；试图
ask	[æsk]	[ɑːsk]	v. 问；请求
need	[niːd]	[niːd]	v. 需要
feel	[fiːl]	[fiːl]	v. 感觉
become	[bɪˈkʌm]	[bɪˈkʌm]	v. 变成
leave	[liːv]	[liːv]	v. 离开；留下
put	[pʊt]	[pʊt]	v. 放置
mean	[miːn]	[miːn]	v. 意思是；意味着
keep	[kiːp]	[kiːp]	v. 保持；保存
let	[let]	[let]	v. 让；允许
begin	[bɪˈɡɪn]	[bɪˈɡɪn]	v. 开始
seem	[siːm]	[siːm]	v. 似乎；看起来
help	[help]	[help]	v. 帮助
talk	[tɔːk]	[tɔːk]	v. 说话；讨论
turn	[tɜːrn]	[tɜːn]	v. 转动；变成
start	[stɑːrt]	[stɑːt]	v. 开始；启动
show	[ʃoʊ]	[ʃəʊ]	v. 展示；显示
hear	[hɪr]	[hɪə]	v. 听见；听说
play	[pleɪ]	[pleɪ]	v. 玩；播放
run	[rʌn]	[rʌn]	v. 跑；运行
move	[muːv]	[muːv]	v. 移动；感动
like	[laɪk]	[laɪk]	v. 喜欢；像
live	[lɪv]	[lɪv]	v. 居住；生活
believe	[bɪˈliːv]	[bɪˈliːv]	v. 相信
hold	[hoʊld]	[həʊld]	v. 拿着；保持
bring	[brɪŋ]	[brɪŋ]	v. 带来
happen	[ˈhæpən]	[ˈhæpən]	v. 发生
write	[raɪt]	[raɪt]	v. 写
provide	[prəˈvaɪd]	[prəˈvaɪd]	v. 提供
sit	[sɪt]	[sɪt]	v. 坐
stand	[stænd]	[stænd]	v. 站立
lose	[luːz]	[luːz]	v. 丢失；输
pay	[peɪ]	[peɪ]	v. 支付
meet	[miːt]	[miːt]	v. 遇见；会面
include	[ɪnˈkluːd]	[ɪnˈkluːd]	v. 包含
continue	[kənˈtɪnjuː]	[kənˈtɪnjuː]	v. 继续
set	[set]	[set]	v. 设置；放置
learn	[lɜːrn]	[lɜːn]	v. 学习
change	[tʃeɪndʒ]	[tʃeɪndʒ]	v. 改变
lead	[liːd]	[liːd]	v. 领导；引导
understand	[ˌʌndərˈstænd]	[ˌʌndəˈstænd]	v. 理解
watch	[wɑːtʃ]	[wɒtʃ]	v. 观看
follow	[ˈfɑːloʊ]	[ˈfɒləʊ]	v. 跟随；遵循
stop	[stɑːp]	[stɒp]	v. 停止
